id_solicitacao,data_abertura,data_conclusao,servico,canal_entrada,regional,prioridade_informada,turno_abertura,demanda_prevista,equipe_disponivel,distancia_km,anexos_enviados,tempo_estimado_horas,custo_estimado_reais
SU-0001,2026/02/06 09:15,2026-02-09 02:15,Reparo de calçada,156,Norte,Média,manhã,53,9,15.4,3,34,"R$ 724,84"
SU-0002,2026-03-20 13:00,24/03/2026 00:06,Poda preventiva,Balcão,Leste,Baixa,tarde,85,7,11.9,1,30,"R$ 703,30"
SU-0003,2026/03/03 07:15,2026-03-06 17:15,poda,156,Norte,Média,manhã,61,4,10.1,1,25,"R$ 663,57"
SU-0004,24/02/2026 10:30,,PODA PREVENTIVA,APLICATIVO,Leste,Alta,manhã,24,6,7.6,2,25,"R$ 623,94"
SU-0005,2026/03/14 13:30,,poda,telefone,Oeste,Média,tarde,19,2,6.5,2,33,
SU-0006,2026-05-07 17:45,,poda,WEB,Oeste,Baixa,noite,82,9,11.3,0,28,"R$ 593,49"
SU-0007,01/03/2026 10:00,04/03/2026 09:54,Reparo de calçada,app,Oeste,Baixa,manhã,34,5,5.3,1,28,
SU-0008,13/04/2026 14:00,,Iluminação Pública ,APLICATIVO,Sul,Alta,tarde,77,5,7.3,3,13,"R$ 497,64"
SU-0009,2026-04-27 15:00,2026-05-01 07:00,PODA PREVENTIVA,balcao,Oeste,Média,tarde,78,3,11.3,1,25,
SU-0010,2026/04/02 07:30,2026-04-03 01:30,Iluminação Pública ,balcao,Sul,Média,manhã,39,11,1.0,1,16,"R$ 225,35"
SU-0011,25/04/2026 08:30,2026-04-27 09:36,PODA PREVENTIVA,balcao,Oeste,Alta,manhã,46,7,8.7,1,30,"R$ 520,91"
SU-0012,05/04/2026 11:00,2026-04-07 18:36,poda,Balcão,Leste,Baixa,manhã,19,8,1.9,2,33,"R$ 451,78"
SU-0013,2026-04-19 14:15,,poda,telefone,Oeste,Alta,tarde,20,3,5.7,3,33,"R$ 473,82"
SU-0014,12/03/2026 10:15,2026-03-15 04:03,reparo calcada,WEB,Sul,Baixa,manhã,86,11,2.3,0,34,"R$ 450,07"
SU-0015,10/02/2026 10:15,2026-02-12 16:21,poda,portal,Sul,Média,manhã,61,6,1.3,2,22,"R$ 399,63"
SU-0016,2026-03-07 14:15,,PODA PREVENTIVA,Portal web,Norte,Baixa,tarde,56,6,11.2,1,28,"R$ 693,92"
SU-0017,2026/05/04 07:15,2026-05-06 10:27,Poda preventiva,Balcão,Leste,Alta,manhã,52,11,10.7,2,28,"R$ 581,52"
SU-0018,2026-03-10 09:15,,iluminacao publica,WEB,Norte,Baixa,manhã,38,6,14.2,2,21,"R$ 614,33"
SU-0019,10/04/2026 14:30,12/04/2026 19:18,COLETA PROGRAMADA,Balcão,Norte,Baixa,tarde,88,9,0.7,3,20,"R$ 411,26"
SU-0020,2026/02/05 10:15,09/02/2026 02:27,reparo calcada,156,Oeste,Alta,manhã,26,5,11.5,1,,"R$ 762,89"
SU-0021,2026-02-08 16:00,2026-02-11 03:48,poda,APLICATIVO,Sul,Média,tarde,60,9,5.0,1,25,"R$ 473,14"
SU-0022,04/03/2026 09:30,,PODA PREVENTIVA,Atendimento presencial,Leste,Média,manhã,38,10,8.7,1,33,"R$ 565,55"
